split,model,auc,brier
27,clinical_Mayo_age,0.7361111111111112,0.22433903820324075
27,clinical_plus_myeloid,0.5,0.2532900302251124
27,clinical_plus_barrier,0.8055555555555556,0.21578043362708996
27,clinical_plus_myeloid_barrier,0.5,0.25210578658972443
28,clinical_Mayo_age,0.36111111111111105,0.29746726415311825
28,clinical_plus_myeloid,0.6666666666666667,0.22834738211714192
28,clinical_plus_barrier,0.4444444444444444,0.27898428364511413
28,clinical_plus_myeloid_barrier,0.6666666666666667,0.2276736306217657
29,clinical_Mayo_age,0.6666666666666666,0.22454558135655817
29,clinical_plus_myeloid,0.8666666666666667,0.17628743103320754
29,clinical_plus_barrier,0.8333333333333334,0.20318827006915977
29,clinical_plus_myeloid_barrier,0.8666666666666667,0.17409812082519988
30,clinical_Mayo_age,0.6857142857142857,0.2195149313214827
30,clinical_plus_myeloid,0.5428571428571428,0.2538479163243113
30,clinical_plus_barrier,0.3142857142857143,0.2860084363119569
30,clinical_plus_myeloid_barrier,0.4857142857142857,0.28635103059131145
31,clinical_Mayo_age,0.7142857142857143,0.22566965258224606
31,clinical_plus_myeloid,0.9428571428571428,0.16770106152092468
31,clinical_plus_barrier,0.7428571428571429,0.20965132296336997
31,clinical_plus_myeloid_barrier,0.9142857142857143,0.17221941970028395
32,clinical_Mayo_age,0.6111111111111112,0.23969136627126886
32,clinical_plus_myeloid,0.6666666666666667,0.21795888932252352
32,clinical_plus_barrier,0.6388888888888888,0.24021670529528014
32,clinical_plus_myeloid_barrier,0.6666666666666667,0.21549686908883967
33,clinical_Mayo_age,0.19444444444444445,0.37356147110906884
33,clinical_plus_myeloid,0.27777777777777773,0.3386059095895155
33,clinical_plus_barrier,0.24999999999999997,0.35581866275283097
33,clinical_plus_myeloid_barrier,0.27777777777777773,0.3381917896045339
34,clinical_Mayo_age,0.9333333333333333,0.21580504999163128
34,clinical_plus_myeloid,0.6666666666666666,0.22860391548227585
34,clinical_plus_barrier,0.9,0.19337262365264699
34,clinical_plus_myeloid_barrier,0.6666666666666666,0.2565418972208221
35,clinical_Mayo_age,0.34285714285714286,0.2919572336820214
35,clinical_plus_myeloid,0.4857142857142857,0.25513252053819
35,clinical_plus_barrier,0.3428571428571428,0.2899892451669829
35,clinical_plus_myeloid_barrier,0.3999999999999999,0.2582710431825476
36,clinical_Mayo_age,0.7142857142857142,0.22375418003163916
36,clinical_plus_myeloid,0.8,0.1916398896433774
36,clinical_plus_barrier,0.6,0.24462446534063256
36,clinical_plus_myeloid_barrier,0.7714285714285714,0.2076365136495044
37,clinical_Mayo_age,0.4305555555555556,0.3008806418066606
37,clinical_plus_myeloid,0.6111111111111112,0.27821937159104576
37,clinical_plus_barrier,0.4722222222222222,0.292924928855787
37,clinical_plus_myeloid_barrier,0.6111111111111112,0.27742306011827833
38,clinical_Mayo_age,0.6388888888888888,0.2324129238817553
38,clinical_plus_myeloid,0.7777777777777778,0.205504945401732
38,clinical_plus_barrier,0.6944444444444446,0.22165409612884157
38,clinical_plus_myeloid_barrier,0.75,0.20392069938549373
39,clinical_Mayo_age,0.7333333333333333,0.22026514014270376
39,clinical_plus_myeloid,0.7333333333333333,0.23803903095719925
39,clinical_plus_barrier,0.8666666666666667,0.2003949338613954
39,clinical_plus_myeloid_barrier,0.6666666666666666,0.2395395706631339
40,clinical_Mayo_age,0.49999999999999994,0.27372939252972717
40,clinical_plus_myeloid,0.5714285714285714,0.2827940461040011
40,clinical_plus_barrier,0.5428571428571428,0.2575151433201552
40,clinical_plus_myeloid_barrier,0.5714285714285714,0.2858021153439189
41,clinical_Mayo_age,0.6571428571428571,0.22227040076239493
41,clinical_plus_myeloid,0.5142857142857142,0.2565870000884631
41,clinical_plus_barrier,0.7428571428571429,0.20627402755317967
41,clinical_plus_myeloid_barrier,0.48571428571428565,0.26300890590135056
